Ano;Semestre;CNPJ AC;Administradora de consórcio;Irregularidade;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;
2021;2º;84911098;ADEMICON ADMINISTRADORA DE CONSÓRCIOS S.A.;Ausência de transparência nas relações contratuais;0;0;1;1;
2021;2º;84911098;ADEMICON ADMINISTRADORA DE CONSÓRCIOS S.A.;Descumprimento de cláusulas referentes à devolução de valores;0;1;0;1;
2021;2º;84911098;ADEMICON ADMINISTRADORA DE CONSÓRCIOS S.A.;Descumprimento de obrigações previstas em contratos;0;3;0;3;
2021;2º;84911098;ADEMICON ADMINISTRADORA DE CONSÓRCIOS S.A.;Falhas operacionais nos processos ou no sistema da Administradora;1;2;0;3;
2021;2º;84911098;ADEMICON ADMINISTRADORA DE CONSÓRCIOS S.A.;Insatisfação com a resposta fornecida pela administradora de consórcio relativa à demanda registrada contra ela;1;1;0;2;
2021;2º;84911098;ADEMICON ADMINISTRADORA DE CONSÓRCIOS S.A.;Irregularidades relacionadas às condições para contemplação por lance ou sorteio;0;1;0;1;
2021;2º;84911098;ADEMICON ADMINISTRADORA DE CONSÓRCIOS S.A.;Não fornecimento, remessa ou divulgação de documentos obrigatórios;0;1;0;1;
2021;2º;84911098;ADEMICON ADMINISTRADORA DE CONSÓRCIOS S.A.;Reclamações relacionadas a assuntos diversos;0;0;1;1;
2021;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Ausência de informações/cláusulas obrigatórias em contrato;0;1;0;1;
2021;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Ausência de prestação de informações sobre as regras de funcionamento do consórcio;5;2;0;7;
2021;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Cobrança irregular de tarifa pela emissão de boletos, carnês e assemelhados;0;1;0;1;
2021;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Descumprimento de cláusulas referentes à devolução de valores;4;4;0;8;
2021;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Descumprimento de obrigações previstas em contratos;0;18;0;18;
2021;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Falhas operacionais nos processos ou no sistema da Administradora;23;8;0;31;
2021;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Insatisfação com a resposta fornecida pela administradora de consórcio relativa à demanda registrada contra ela;1;7;0;8;
2021;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Insatisfação por parte do cliente com o atendimento prestado pela administradora de consórcio;0;0;4;4;
2021;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Irregularidades relacionadas à liberação do crédito;2;9;0;11;
2021;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Irregularidades relacionadas às condições para contemplação por lance ou sorteio;0;3;0;3;
2021;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Não fornecimento, remessa ou divulgação de documentos obrigatórios;4;2;0;6;
2021;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;Reclamações relacionadas a assuntos diversos;0;0;7;7;
2021;2º;07808907;ADMINISTRADORA DE CONSORCIOS SICREDI LTDA;Descumprimento de cláusulas referentes à devolução de valores;0;1;0;1;
2021;2º;07808907;ADMINISTRADORA DE CONSORCIOS SICREDI LTDA;Descumprimento de obrigações previstas em contratos;1;1;0;2;
2021;2º;07808907;ADMINISTRADORA DE CONSORCIOS SICREDI LTDA;Falhas operacionais nos processos ou no sistema da Administradora;4;0;0;4;
2021;2º;07808907;ADMINISTRADORA DE CONSORCIOS SICREDI LTDA;Irregularidades relacionadas à liberação do crédito;0;1;0;1;
2021;2º;03765340;ADMINISTRADORA DE CONSÓRCIO NACIONAL VALOR S.A.;Ausência de prestação de informações sobre as regras de funcionamento do consórcio;2;2;0;4;
2021;2º;03765340;ADMINISTRADORA DE CONSÓRCIO NACIONAL VALOR S.A.;Irregularidades relacionadas às condições para contemplação por lance ou sorteio;0;1;0;1;
2021;2º;73230674;ADMINISTRADORA DE CONSÓRCIO RCI BRASIL LTDA;Descumprimento de cláusulas referentes à devolução de valores;0;2;0;2;
